Date	       Open	High	Low	Close	Volume 
2/8/2013	474	478.81	468.25	474.98	22597100
2/7/2013	463.25	470	454.12	468.22	25163600
2/6/2013	456.47	466.5	452.58	457.35	21203800
2/5/2013	444.05	459.74	442.22	457.84	20476700
2/4/2013	453.91	455.94	442	442.32	17039900
2/1/2013	459.11	459.48	448.35	453.62	19267300
1/31/2013	456.98	459.28	454.98	455.49	11404800
1/30/2013	457	462.6	454.5	456.83	14898400
1/29/2013	458.5	460.2	452.12	458.27	20398500
1/28/2013	437.83	453.21	435.86	449.83	28054200
1/25/2013	451.69	456.23	435	439.88	43143800
1/24/2013	460	465.73	450.25	450.5	52173300
1/23/2013	508.81	514.99	504.77	514.01	30768200
1/22/2013	504.56	507.88	496.63	504.77	16483800
1/18/2013	498.52	502.22	496.4	500	16890100
1/17/2013	510.31	510.75	502.03	502.68	16202800
1/16/2013	494.64	509.44	492.5	506.09	24671600
1/15/2013	498.3	498.99	483.38	485.92	31313300
1/14/2013	502.68	507.5	498.51	501.75	26221700
1/11/2013	521	525.32	519.02	520.3	12518100
1/10/2013	528.55	528.72	515.52	523.51	21469500
1/9/2013	522.5	525.01	515.99	517.1	14557300
1/8/2013	529.21	531.89	521.25	525.31	16382400
1/7/2013	522	529.3	515.2	523.9	17291300
1/4/2013	536.97	538.63	525.83	527	21226200
1/3/2013	547.88	549.67	541	542.1	12605900
1/2/2013	553.82	555	541.63	549.03	20018500
12/31/2012	510.53	535.4	509	532.17	23553300
12/28/2012	510.29	514.48	508.12	509.59	12652800
12/27/2012	513.54	516.25	504.66	515.06	16254300
12/26/2012	519	519.46	511.12	513	10801300
12/24/2012	520.35	524.25	518.71	520.17	6276900
12/21/2012	512.47	519.67	510.24	519.33	21295300
12/20/2012	530	530.2	518.88	521.73	17203200
12/19/2012	531.47	533.7	525.5	526.31	16048900
12/18/2012	525	534.9	520.25	533.9	22345900
12/17/2012	508.93	520	501.23	518.83	27057400
12/14/2012	514.75	518.13	505.58	509.79	36056400
12/13/2012	531.15	537.64	525.8	529.69	22330700
12/12/2012	547.77	548	536.27	539	17398000
12/11/2012	539.77	549.56	537.37	541.39	21155200
12/10/2012	525	538.51	521.58	529.82	22517300
12/7/2012	553.4	555.2	530	533.25	28108600
12/6/2012	528.94	553.31	518.63	547.24	42043300
12/5/2012	568.91	569.25	538.77	538.79	37308500
12/4/2012	581.8	581.8	572.13	575.85	19895300
12/3/2012	593.65	594.59	585.5	586.19	13010000
11/30/2012	586.79	588.4	582.68	585.28	13975700
11/29/2012	590.22	594.25	585.25	589.36	18382100
11/28/2012	577.27	585.8	572.26	582.94	18602300
11/27/2012	589.55	590.42	580.1	584.78	19047500
11/26/2012	575.9	590	573.71	589.53	22520700
11/23/2012	567.17	572	562.6	571.5	9743800
11/21/2012	564.25	567.37	556.6	561.7	13321500
11/20/2012	571.91	571.95	554.58	560.91	22955500
11/19/2012	540.71	567.5	539.88	565.73	29404200
11/16/2012	525.2	530	505.75	527.68	45246200
11/15/2012	537.53	539.5	522.62	525.62	28211100
11/14/2012	545.5	547.45	536.18	536.88	17041800
11/13/2012	538.91	550.48	536.36	542.9	19033900
11/12/2012	554.15	554.5	538.65	542.83	18421500
11/9/2012	540.42	554.88	533.72	547.06	33211200
11/8/2012	560.63	562.23	535.29	537.75	37719500
11/7/2012	573.84	574.54	555.75	558	28344600
11/6/2012	590.23	590.74	580.09	582.85	13389900
11/5/2012	583.52	587.77	577.6	584.62	18897700
11/2/2012	595.89	596.95	574.75	576.8	21406200
11/1/2012	598.22	603	594.17	596.54	12903500
10/31/2012	594.88	601.96	587.7	595.32	18214400
10/26/2012	609.43	614	591	604	36372600
10/25/2012	620	622	605.55	609.54	23440200
